Symbol,Status,Records Downloaded
HUBS,Success,2518
ASM.AS,Success,6636
IOT,Success,709
BNTX,Success,1259
DXCM,Success,4907
CAH,Success,7554
POW.TO,Success,7479
K,Success,7554
ELC,Success,3491
GOVT,Success,3178
ETR,Success,7554
VLTO,Success,262
CALF,Success,1841
SPTS,Success,3235
GLDM,Success,1584
SQQQ,Success,3691
JNK,Success,4242
EUNA.DE,Success,1750
ZEB.TO,Success,3755
ICICIB22.NS,Success,1197
SPYI,Success,532
MTUM,Success,2891
EXX1.DE,Success,5499
SAEM.L,Success,1512
VCSH,Success,3745
FLOA.L,Success,1661
CNYA.L,Success,2406
I500.L,Success,1025
FFEB,Success,1167
FNGD,Success,1691
2B7S.DE,Success,904
BITX,Success,326
NVDQ,Success,246
BAR,Success,1789
SPXS,Success,4009
FNDE,Success,2808
KWEB,Success,2818
SRT.SI,Success,748
MASPTOP50.NS,Success,757
QUAL,Success,2828
SCHE,Success,3710
IYR,Success,6117
IBC3.DE,Success,1679
UCO,Success,3995
FBTC,Success,189
IUUS.L,Success,1911
RONN,Success,286
EWZ,Success,6099
SCHP,Success,3570
36BA.DE,Success,1131
IYZ,Success,6132
KOLD,Success,3274
TMV,Success,3899
CFA.SI,Success,1895
IDX,Success,3959
VGIT,Success,3745
IGV,Success,5848
CBUG.L,Success,1420
FXN,Success,4386
GOVT,Success,3178
3BA.L,Success,901
VWO,Success,4931
XLK,Success,6492
DBC,Success,4703
MJ,Success,2228
IEF,Success,5591
VMID.L,Success,2540
PFFD,Success,1781
AGGU.L,Success,1743
SHYG,Success,2764
NVDL,Success,459
DFAI,Success,979
VTI,Success,5878
XLV,Success,6492
IJH,Success,6132
SCHB,Success,3759
BXX.PA,Success,4293
DGRO,Success,2601
513300.SS,Success,956
2B7A.DE,Success,1922
DFAC,Success,838
IWN,Success,6089
IBDQ,Success,2413
LABU,Success,2360
513000.SS,Success,1289
ARKK,Success,2502
BINC,Success,349
LQDA.L,Success,1896
XLRE,Success,2267
XEG.TO,Success,5916
TMF,Success,3899
SSO,Success,4608
HYUS.L,Success,634
SCHA,Success,3759
SMCX,Success,35
UVIX,Success,637
SIVR,Success,3830
7288.HK,Success,1867
KSA,Success,2282
ICHN.AS,Success,1366
XME,Success,4607
7233.HK,Success,1038
DLR-U.TO,Success,3368
NVD,Success,287
NOBL,Success,2769
FTSM,Success,2563
QLD,Success,4608
XLE,Success,6492
EWL,Success,7191
COPX,Success,3645
3066.HK,Success,372
EUNL.DE,Success,3827
VUG,Success,5210
JAAA,Success,1001
CON3.L,Success,713
FELC,Success,224
ETHA,Success,57
PZA,Success,4279
XAR,Success,3279
FLOT,Success,3351
JETS,Success,2379
VGSH,Success,3745
TSDD,Success,283
EWC,Success,7191
EMXC,Success,1815
XSOE,Success,2475
IEAA.L,Success,1783
ERY,Success,4008
VYM,Success,4504
GDXJ,Success,3753
SARK,Success,734
EXV1.DE,Success,5558
YINN,Success,3738
IJR,Success,6132
NVDY,Success,357
GOLDBEES.NS,Success,4334
EWA,Success,7191
ARKB,Success,189
COWZ,Success,1965
GDXD,Success,969
VT,Success,4101
NIO3.L,Success,713
ERNA.L,Success,1591
XUEB.L,Success,1141
EDM2.DE,Success,1266
XHB,Success,4702
PAAA,Success,306
ITOT,Success,5215
VCLT,Success,3745
DBPK.DE,Success,3704
BLV,Success,4408
SECA.DE,Success,1030
3110.HK,Success,2897
TSLY,Success,472
MOAT,Success,3136
IMBA.L,Success,1899
AVUV,Success,1269
ESGU,Success,1974
VTIP,Success,3015
TFLO,Success,2690
HYLB,Success,1973
VUAG.L,Success,1369
TSLL,Success,547
MCHI,Success,3405
DRIP,Success,2359
PCY,Success,4279
MSTU,Success,17
LYQL.DE,Success,3631
VUSB,Success,885
GGLL,Success,527
SPYD,Success,2257
MSTZ,Success,17
7568.HK,Success,1246
MDY,Success,7411
VEU,Success,4430
HMAX.TO,Success,433
QDV5.DE,Success,1621
ITPG.L,Success,1669
LVO.MI,Success,2917
MSTX,Success,40
REET,Success,2582
QQQ,Success,6440
MINT,Success,3749
CLOZ,Success,432
FAZ,Success,4008
FLRN,Success,3235
ZSL,Success,3990
AMLP,Success,3556
IBTE.L,Success,1653
SCHO,Success,3570
ILF,Success,5778
XIU.TO,Success,6287
3033.HK,Success,1014
IBTC.SW,Success,1336
HPYT.TO,Success,261
FVD.L,Success,1178
BBJP,Success,1590
QRE.AX,Success,3499
IAUM,Success,827
SETFNIF50.NS,Success,2350
QQQS.L,Success,2990
HTRB,Success,1770
DYNF,Success,1400
AAAU,Success,1549
VIG,Success,4646
7266.HK,Success,1086
SPIB,Success,3943
YTSL.NE,Success,455
BIV,Success,4408
BITO,Success,749
HNGSNGBEES.NS,Success,3723
XZBD.L,Success,1035
IGL5.L,Success,353
MBB,Success,4424
ICGA.DE,Success,1352
IEMG,Success,3011
SMST,Success,40
IWP,Success,5835
DTLE.L,Success,1783
FENY,Success,2759
EIRL,Success,3632
IDTG.L,Success,1235
AGQ,Success,3989
JNUG,Success,2774
LIQUIDBEES.NS,Success,5248
MOM100.NS,Success,3377
IUAA.L,Success,1899
BKAG,Success,1124
USFR,Success,2690
TIP,Success,5247
IDV,Success,4361
DTLA.L,Success,1629
CRUD.L,Success,4242
TSL3.L,Success,902
XBI,Success,4702
URTY,Success,3691
IVV,Success,6137
NVDS,Success,565
2846.HK,Success,3683
AIGE.L,Success,4240
IBTA.L,Success,1896
HYG,Success,4407
SCO,Success,3995
VIXY,Success,3465
IGIB,Success,4468
IHYA.L,Success,1896
PSQ,Success,4608
VTEB,Success,2298
MAGS,Success,379
SCHX,Success,3759
KIE,Success,4757
TLH,Success,4468
3088.HK,Success,1009
VUSA.L,Success,3137
MSTY,Success,161
3175.HK,Success,2085
VXX,Success,3951
SHLD,Success,515
GBTC,Success,2377
NPF.NZ,Success,2711
HYLS,Success,2926
ERNX.DE,Success,630
3032.HK,Success,1010
BTC,Success,51
CLR.SI,Success,1792
BITU,Success,134
SPEM,Success,4419
UVXY,Success,3276
OUNZ,Success,2619
ABSLBANETF.NS,Success,1252
EXW1.DE,Success,5791
KOTAKGOLD.NS,Success,3783
MSOX,Success,536
MIDD.L,Success,5191
YANG,Success,3738
TSLQ.L,Success,841
SDIA.L,Success,1898
SPXU,Success,3850
512660.SS,Success,1984
ANGL,Success,3146
JPEA.L,Success,1900
IWR,Success,5843
CGCB,Success,261
IAI,Success,4640
AGGG.L,Success,1741
7588.HK,Success,1867
GLD,Success,5007
NIFTYBEES.BO,Success,3705
USO,Success,4658
CBUH.DE,Success,757
LABD,Success,2360
HXD.TO,Success,4327
IUHC.L,Success,2249
AVEM,Success,1274
BITB,Success,189
IBC5.DE,Success,2612
3067.HK,Success,1038
BIL,Success,4373
GUSH,Success,2359
NVDX,Success,246
IEI,Success,4468
IUSN.DE,Success,1645
SDVY,Success,1744
URA,Success,3505
ISTB,Success,3011
BITI,Success,581
BNDX,Success,2859
VHAI,Success,161
GBIL,Success,2036
FBND,Success,2518
SPHY,Success,3098
SHM,Success,4276
XRT,Success,4607
QQQ5.L,Success,713
SDOW,Success,3691
HQD.TO,Success,1416
BSLGOLDETF.NS,Success,2936
TYA,Success,764
IWM,Success,6132
VXUS,Success,3448
OM3F.DE,Success,1601
SPMB,Success,3954
BOTZ,Success,2033
SGOV,Success,1101
7552.HK,Success,943
ISF.L,Success,5758
XLU,Success,6492
IBIT,Success,189
CPSEETF.BO,Success,2588
SPDN,Success,2100
HQU.TO,Success,3980
EMGU.L,Success,1654
AMDL,Success,144
BCI,Success,1895
EDV,Success,4235
7200.HK,Success,1867
3OIL.MI,Success,992
UUP,Success,4442
XLG,Success,4888
EWH,Success,7191
UNG,Success,4402
SCHF,Success,3759
83188.HK,Success,3126
CQQQ,Success,3735
TSLQ,Success,565
IUFS.L,Success,2245
LSK8.DE,Success,4116
ULTY,Success,156
SH,Success,4608
PSUBNKBEES.NS,Success,3887
SPYG,Success,6045
TECS,Success,3972
PPA,Success,4771
3109.HK,Success,900
DOG,Success,4608
BNO,Success,3615
BSCO,Success,2532
USMV,Success,3264
SPY,Success,7982
KRE,Success,4607
RSP,Success,5400
CONL,Success,547
VNQ,Success,5043
INDA,Success,3192
IUSV,Success,6084
AIGI.L,Success,4239
VTV,Success,5210
EMBC.SW,Success,2388
VEA,Success,4333
SHY,Success,5591
TSLR,Success,283
KORU,Success,2897
SHC.PA,Success,4183
FXI,Success,5036
AGG,Success,5296
SHV,Success,4468
DBMF,Success,1367
SIL,Success,3645
SOXX,Success,5848
IEFA,Success,3011
IJPA.L,Success,3806
TLT,Success,5591
LMBS,Success,2499
SCHD,Success,3264
SCHR,Success,3570
VO,Success,5210
XLF,Success,6492
IGSB,Success,4468
XPHI.L,Success,3360
XLC,Success,1589
IDTL.L,Success,2460
XGD.TO,Success,5912
DUST,Success,3483
IWF,Success,6132
TNA,Success,4009
EWT,Success,6113
ICSH,Success,2724
IEUR,Success,2601
CWEB,Success,1997
XYLD,Success,2845
BIZD,Success,2936
3115.HK,Success,2018
EWW,Success,7191
ACWX,Success,4163
XOP,Success,4607
TLTW,Success,538
SPDW,Success,4396
MON100.NS,Success,727
BOIL,Success,3274
VMBS,Success,3745
JPST,Success,1861
7500.HK,Success,1327
SCHQ,Success,1259
3LTS.L,Success,1083
7522.HK,Success,1256
AGBP.L,Success,1740
TQQQ,Success,3691
IBDS,Success,1780
FWRG.L,Success,330
SILJ,Success,2986
IUSU.L,Success,1908
LQD,Success,5591
EEM,Success,5412
NUGT,Success,3483
IQQH.DE,Success,4293
SUSW.L,Success,1779
BKLN,Success,3425
TECL,Success,3980
EWJ,Success,7191
LEMD.L,Success,3006
ESGE,Success,2071
ARKG,Success,2502
BND,Success,4408
HOD.TO,Success,4201
CRPU.L,Success,1812
