Symbol,Volume,Status
ISHP,40,Fail
BAR,707250,Pass
AH50.DE,26385,Fail
IE000L5NW549.SG,0,Fail
FDHY,22904,Fail
IRTR,2687,Fail
CVLC,7918,Fail
UBTP.L,45,Fail
HWAY,203,Fail
QTJL,1218,Fail
XCNY,15,Fail
LCDS,270,Fail
M9SA.DE,1559,Fail
RSXJ,0,Fail
GVAL,9289,Fail
HEGD,42997,Fail
SC0K.DE,543,Fail
UIQ1.DE,109,Fail
MAYT,417,Fail
PQVM.MI,840,Fail
JPCT.L,0,Fail
IYC,59700,Fail
MIDCAPIETF.BO,18912,Fail
MEH.PA,501,Fail
EPAB.L,0,Fail
CMBS,18191,Fail
LQQ3.L,1,Fail
CPNS,6444,Fail
GOVI,133700,Fail
FLQD,0,Fail
IYR,3079700,Pass
SCHE,1187800,Pass
DJCB,101,Fail
MLPD.L,1,Fail
JREG.DE,20497,Fail
ARVR,123,Fail
JNHD.DE,1524,Fail
276000.KS,84,Fail
SC0Q.DE,76,Fail
SOXM,7230,Fail
IBC3.DE,47478,Fail
3CON.MI,3253,Fail
SUBZ,0,Fail
AFSM,8522,Fail
NBJP,0,Fail
RPSB.TO,0,Fail
FCCA.NE,4396,Fail
BUYZ,2744,Fail
DGS,126800,Fail
HSAV.TO,22852,Fail
IXSRF,0,Fail
XGII.DE,52,Fail
PTIR,291424,Pass
IMVU.L,0,Fail
PTOS.L,0,Fail
IJH.AX,584,Fail
DFLV,204327,Pass
USE3.MI,5397,Fail
EVSD,1,Fail
AGUG.AS,2446,Fail
IBIF,1501,Fail
GLDU.L,0,Fail
FJPR.L,10000,Fail
ABN3.L,2,Fail
QPON.AX,6548,Fail
X025.DE,0,Fail
CLOD,107,Fail
MISL,23994,Fail
EPS,49000,Fail
FCID.TO,112,Fail
HYGW,23581,Fail
BRAZ,0,Fail
EXS2.DE,15847,Fail
FUM.TO,0,Fail
IUKD.SW,1974,Fail
EUNX.DE,35,Fail
VGAD.AX,11667,Fail
SCMB,36116,Fail
DBZB.DE,5525,Fail
PLTM,72894,Fail
CPST,1091,Fail
LITU.L,488,Fail
IZRL,6264,Fail
LALT,1704,Fail
NVHE.TO,80983,Fail
CEMS.DE,63682,Fail
HAJ.TO,0,Fail
NZAC,2932,Fail
LEGR,1962,Fail
HYDW,4168,Fail
ESGE.PA,3258,Fail
EUF.NZ,10752,Fail
XSX6.L,0,Fail
OACP,21181,Fail
CNBS,4806,Fail
HSMV,2496,Fail
CGHM,52243,Fail
26ID.PA,0,Fail
NVDQ,24218166,Pass
DSTL,40957,Fail
XDNY.L,280,Fail
COFF.MI,3647,Fail
JMID,499,Fail
CSJP,0,Fail
UKG5.L,1103,Fail
IEIH,0,Fail
IBMK,0,Fail
WPS,0,Fail
IDME,0,Fail
UKSR.L,510,Fail
FPEI,149930,Fail
CTEK.L,238,Fail
MOTG,515,Fail
IWRD.L,271,Fail
OOSP,510000,Pass
IUUS.L,216,Fail
FBTC,2455430,Pass
EXCS.L,2993,Fail
3LSA.PA,145,Fail
EQQQ.L,40,Fail
UMAY,2578,Fail
HEJD,4,Fail
SPXS,34382500,Pass
NXTG,4100,Fail
HDV,181100,Fail
PAXG.L,1,Fail
ETBB.PA,1,Fail
RISR,8321,Fail
DSCF,373,Fail
DINT,5979,Fail
IE00B5KQNG97.SG,0,Fail
2AMZ.L,280,Fail
GG3S.L,70,Fail
SMAX.TO,25072,Fail
URE,3600,Fail
3BSR.L,406,Fail
LCOP.L,7,Fail
KALL,19756,Fail
LRET,0,Fail
3AME.L,13,Fail
MVPA,2066,Fail
SPCZ,0,Fail
RSSB,27923,Fail
TMAT,8085,Fail
IMSU.L,60,Fail
EUMD.L,10,Fail
AVDG,0,Fail
ITDI,836,Fail
WANT,24801,Fail
APRQ,872,Fail
RONN,5474287,Pass
UTES.TO,23311,Fail
SC0Y.DE,5,Fail
KEUA,900,Fail
EDGH,20678,Fail
XHU.TO,200,Fail
EWZ,25463200,Pass
ETFBM40TR.WA,4253,Fail
MMLG,9119,Fail
SULR,0,Fail
