Symbol,Volume,Status
GSP,0,No Data
FCUQ.TO,4400,Fail
LCF,242,Fail
HBB.TO,23600,Fail
ZHDG,6927,Fail
IJH,3295308,Pass
VHYL.AS,16819,Fail
RSSB,16901,Fail
XMLC.DE,16528,Fail
QLVE,275,Fail
2AMZ.L,0,Fail
BELT,153,Fail
DFSV,536573,Pass
PRAR.F,0,No Data
CALF,627335,Pass
TINF.TO,4100,Fail
XMJD.L,0,Fail
EDGF,24175,Fail
BITW,48773,Fail
ARB,2970,Fail
HELO,183543,Fail
XLK,4882146,Pass
IBMQ,19809,Fail
RMAX.TO,14500,Fail
BUFF,20710,Fail
MCH,20706,Fail
US7.SW,1485,Fail
DFLV,334194,Pass
AVNM,25671,Fail
DIVP,768,Fail
SNPG,4220,Fail
IFSW.L,0,Fail
FXRU.L,0,No Data
FXC,4648,Fail
CVRT,405,Fail
V3GD.L,0,Fail
IJS,137546,Fail
ONLN,6125,Fail
IUKD.SW,0,No Data
EPS,57141,Fail
9406.SR,2385,Fail
HSMV,2001,Fail
SPCZ,0,No Data
IXC,302969,Pass
DMRI,0,No Data
RHRX,0,No Data
PID,38827,Fail
XDWT.DE,49729,Fail
JMBS,178869,Fail
USFI,3,Fail
IOO.AX,9485,Fail
LCOP.L,0,Fail
BSMY,1,Fail
MTUM,343922,Pass
LTM.PA,0,No Data
HQGO,1,Fail
ZVC.TO,3400,Fail
VEUA.L,0,Fail
SKYU.L,0,Fail
SHRY,1827,Fail
FCRH.TO,0,No Data
THYF,387,Fail
SMOG,2166,Fail
PTOS.L,0,No Data
FCCA.NE,479,Fail
KEUA,3468,Fail
GSSC,9083,Fail
VOOV,60300,Fail
JRDM.L,0,Fail
FIDU,90771,Fail
104520.KS,16,Fail
3BA.L,0,Fail
WFHY,0,No Data
AW1Q.DE,565,Fail
SID.TO,0,No Data
DVND,0,No Data
EUNX.DE,68,Fail
EDGU,7119,Fail
CPJ1.L,0,Fail
FXF,7390,Fail
ZEB.TO,1636000,Pass
VGLT,1024029,Pass
XOVR,10638,Fail
IECS,0,No Data
AGGU.L,0,Fail
MAYT,0,No Data
CWAI,0,No Data
ISLN.L,0,Fail
TMFS,5839,Fail
DTAN,292,Fail
HEP.TO,20338,Fail
JPCT.L,0,Fail
IWRD.L,0,Fail
HBIE.TO,600,Fail
UEEF.DE,86687,Fail
ITDI,1265,Fail
UD02.L,0,No Data
DRFE.TO,300,Fail
QLVD,631,Fail
NS4E.DE,1093,Fail
QTIP.NE,498,Fail
IYZ,307492,Pass
NXTG,6308,Fail
140570.KS,15021,Fail
ESGP.L,0,Fail
MLTI,0,No Data
JBRI,0,No Data
FOVL,2766,Fail
PJFM,0,No Data
NASD.L,0,Fail
FUT.TO,0,No Data
MODL,25085,Fail
GXUS,0,No Data
EUNA.DE,342395,Pass
EQQQ.DE,5559,Fail
RESI,0,No Data
AIFD,4369,Fail
MTF.PA,428,Fail
ITDD,6379,Fail
PQDI,1490,Fail
MEDI,409,Fail
TMFE,18122,Fail
FTRB,55907,Fail
XHU.TO,200,Fail
E907.DE,259,Fail
DIVY,5086,Fail
UCRP.L,0,Fail
3SLV.PA,0,No Data
FXRL.ME,0,No Data
IE00BFMXXD54.SG,0,No Data
XSHD,50542,Fail
ECO.MI,0,Fail
VEUR.PA,0,No Data
DSTL,44468,Fail
CLOU,271671,Pass
276000.KS,739,Fail
OVS,1186,Fail
XMEU.L,0,Fail
ADRD,0,No Data
BUYO,0,No Data
WEBA.DE,6967,Fail
XMI.TO,400,Fail
AHYQ.DE,8717,Fail
WCME,0,No Data
CRED,1098,Fail
IEMS.L,0,Fail
WINC.L,0,Fail
MNY.TO,15800,Fail
NVHE.TO,39600,Fail
IB27.MI,7366,Fail
LYP2.DE,239,Fail
ERGF,0,No Data
MEH.PA,2487,Fail
RORE,0,No Data
FNGD,1411995,Pass
